Taxon
Sansevieria trifasciata
Sarracenia leucophylla
Sarracenia purpurea
Schefflera elegantissima
Schlumbergera buckleyi
Schlumbergera truncata
Sedum dasyphyllum
Sedum morganianum
Selaginella erythropus
Selaginella uncinata
Senecio articulatis
Senecio citriformis
Senecio crassissimus
Senecio serpens
Soleirolia soleirolii
Stanhopea triclara
Stapelia gigantea
Stapelia scitula
Stenotaphrum secundatum
Strelitzia nicolai
Strelitzia reginae
Streptocalyx cutacu
Swietenia mahogani
Syngonium 
Tacca integrifolia
Thunbergia acata
Tillandsia abdita
Tillandsia araujei
Tillandsia argentea
Tillandsia atrouiride
Tillandsia baileyi
Tillandsia bandensis
Tillandsia barclayana
Tillandsia bergeri
Tillandsia brachycaulos
Tillandsia butzii
Tillandsia cacticola
Tillandsia caerulea
Tillandsia camplanata
Tillandsia chiapensis
Tillandsia crocara
Tillandsia cyanea
Tillandsia diaguitensis
Tillandsia didisticha
Tillandsia durangensis
Tillandsia edithea
Tillandsia espinosae
Tillandsia flexuosa
Tillandsia friesii
Tillandsia funkiana
Tillandsia imperialis
Tillandsia ionantha
Tillandsia latifolia
Tillandsia leonamiana
Tillandsia loliacea
Tillandsia macdougallii
Tillandsia mauryana
Tillandsia miltensis
Tillandsia mitlaensis
Tillandsia mooreana
Tillandsia muhri
Tillandsia multiflora
Tillandsia myosura
Tillandsia ospinae
Tillandsia pueblensis
Tillandsia purpurea
Tillandsia rhomboidea
Tillandsia rodriqueziana
Tillandsia schatzlii
Tillandsia schiedeana
Tillandsia secunda
Tillandsia straminea
Tillandsia sucrei
Tillandsia tenuifolia
Tillandsia tricholepis
Tillandsia urticulata
Tillandsia usneoides
Tillandsia whrii
Tillandsia xerographica
Tillandsia xiphioides
Tradescantia pallida
Tradescantia zebrina 
Trichopilia tortilis
Trigonidium ergertonianum
Vanda
Vanilla plantifoliae
Vinca major
Vriesea barciayann
Vriesea cereicola
Vriesea correia-arauji
Vriesea dodsonii
Vriesea dubia
Vriesea fenestralis
Vriesea fosteriana
Vriesea glutinosa
Vriesea guttata
Vriesea heterandra
Vriesea hieroglyphica
Vriesea imperialis
Vriesea incurvata
Vriesea malzinei
Vriesea ospinae
Vriesea racinae
Vriesea rubyae
Vriesea sanguinolenta
Vriesea saundersii
Vriesea vinicolor
Yucca glauca
Yucca gigantea
Yucca glauca
Zygopetalum 
