,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
210,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Juncaceae,Juncus,Juncus alpinoarticulatus,6,7707728,220,718,5353,2701072,2701930,Juncus alpinoarticulatus
211,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Coleus,Coleus scutellarioides,6,7707728,220,408,2497,9340395,5341492,Coleus blumei
212,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha spicata,6,7707728,220,408,2497,2927173,2927175,Mentha spicata
213,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Plectranthus,Plectranthus glabratus,6,7707728,220,408,2497,2926635,3904562,Plectranthus coleoides
214,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Plectranthus,Plectranthus hadiensis,6,7707728,220,408,2497,2926635,8235136,Plectranthus tomentosa
215,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Plectranthus,Plectranthus verticillatus,6,7707728,220,408,2497,2926635,2926638,Plectranthus verticillatus
216,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Plectranthus,Plectranthus fruticosus,6,7707728,220,408,2497,2926635,8036546,Plectranthus fruticosus
217,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Rosmarinus,Rosmarinus officinalis,6,7707728,220,408,2497,2926633,9033789,Rosmarinus officinalis
218,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia nemorosa,6,7707728,220,408,2497,2926981,2927028,Salvia nemorosa
219,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia coccinea,6,7707728,220,408,2497,2926981,9278365,Salvia coccinea
220,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium fruticans,6,7707728,220,408,2497,2926895,2926902,Teucrium fruticans
221,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Cinnamomum verum,6,7707728,220,407,6688,3033980,3033987,Cinnamomum verum
222,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lentibulariaceae,Pinguicula,NA,6,7707728,220,408,2391,3172450,NA,Pinguicula
223,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Agapanthus,Agapanthus africanus,6,7707728,196,1169,7682,9471670,2854740,Agapanthus africanus
224,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Albuca,Albuca bracteata,6,7707728,196,1169,7683,2772295,3647605,Albuca bracteata
225,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium schoenoprasum,6,7707728,196,1169,7682,9624496,2855860,Allium schoenoplasum
226,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium tuberosum,6,7707728,196,1169,7682,9624496,2856297,Allium tuberosum
227,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ledebouria,Ledebouria socialis,6,7707728,196,1169,7683,8293484,2773791,Ledebouria socialis
228,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Punica,Punica granatum,6,7707728,220,690,6684,3188663,5420901,Punica granatum
229,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,Magnolia figo,6,7707728,220,718,4690,2888195,3152997,Magnolia figo
230,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon hybridum,6,7707728,220,941,6685,3152599,3938295,Abutilon hybridum
231,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus rosa-sinensis,6,7707728,220,941,6685,3152542,3152559,Hibiscus rosa-sinensis
232,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus moscheutos,6,7707728,220,941,6685,3152542,3152596,Hibiscus moscheutos
233,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus phoeniceus,6,7707728,220,941,6685,3152542,3152556,Pavonia brasiliensis
234,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida rhombifolia,6,7707728,220,941,6685,3152100,5406735,Sida rhombifolia
235,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Goeppertia,Goeppertia kummeriana,6,7707728,196,627,8784,7304686,9580673,Ctenanthe kummerana
236,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Ctenanthe,Ctenanthe oppenheimiana,6,7707728,196,627,8784,2762396,2762437,Ctenanthe oppenheimiana
