,kingdom,phylum,class,order,family,genus,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species,species_id,query
83,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelogyne,6,7707728,196,1169,7689,2811365,Coelogyne flaccida,2811433,Coelogyne flaccida
84,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelogyne,6,7707728,196,1169,7689,2811365,Coelogyne flaccida,2811433,Coelogyne lactea
85,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,6,7707728,220,412,8798,2895315,Coffea arabica,2895345,Coffea arabica
86,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Colocasia,6,7707728,196,551,6979,5330758,Colocasia esculenta,5330776,Colocasia esculenta
87,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,NA,6,7707728,220,414,3065,NA,NA,NA,Compositae
88,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Cordyline,6,7707728,196,1169,7683,9445706,Cordyline fruticosa,2766278,Cordyline terminalis
89,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,6,7707728,196,627,4492,2756771,Costus productus,2756806,Costus productus
90,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,6,7707728,220,7219248,2406,2985823,Crassula argentea,8197822,Crassula argentea
91,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,6,7707728,220,7219248,2406,2985823,Crassula muscosa,7396425,Crassula lycopodioides
92,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Cryptanthus,6,7707728,196,1369,3740,2694346,NA,NA,Cryptanthus aculis
93,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Ctenanthe,6,7707728,196,627,8784,2762396,NA,NA,Ctenanthe humilis
94,Plantae,Tracheophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas,6,7707728,228,834,6168,2683206,Cycas revoluta,2683217,Cycas revoluta
95,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbidium,1,110,210,9389852,3252478,3252479,NA,NA,Cymbidium
96,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,6,7707728,196,1369,7708,2713455,Cyperus alternifolius,2714156,Cyperus alternifolius
97,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Cyrtomium,6,7707728,7228684,392,2373,8245169,Cyrtomium falcatum,2650829,Cyrtomium falcatum
98,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,6,7707728,220,1176,7717,2928734,Datura innoxia,2928755,Datura inoxia
100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,6,7707728,196,1169,7689,2821327,NA,NA,Dendrobium
101,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,6,7707728,196,1169,7689,2821327,Dendrobium fimbriatum,5308651,Dendrobium fimbriatum 
102,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,6,7707728,196,1169,7689,2821327,Dendrobium nobile,5317489,Dendrobium nobile
103,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Dichorisandra,6,7707728,196,553,2763195,2763579,Dichorisandra thyrsiflora,2763632,Dichorisandra thyrsiflora
104,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dieffenbachia,6,7707728,196,551,6979,2869330,Dieffenbachia seguine,2869345,Dieffenbachia maculata
105,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droseraceae,Dionaea,6,7707728,220,422,5399,3191248,Dionaea muscipula,5421410,Dionaea muscipula
106,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,6,7707728,196,1169,7683,2752062,Dracaena deremensis,7925681,Dracaena deremensis
107,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Dracaena,6,7707728,196,1169,7683,2752062,Dracaena surculosa,5304547,Dracaena godseffiana
108,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879,Aloe purpurea,2777917,Dracaena marginata
109,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Echeveria,6,7707728,220,7219248,2406,5362052,Echeveria pulvinata,8107364,Echeveria pulvinata
110,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Echinocactus,6,7707728,220,422,2519,3084089,Echinocactus grusonii,7280494,Echinocerus grusonii
111,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,Eichhornia,6,7707728,196,553,3731,2765939,Eichhornia crassipes,2765940,Eichhornia crassipes
112,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos,6,7707728,228,834,5375,2683673,Encephalartos altensteinii,2683722,Encephalartos altensteinii
113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,6,7707728,196,1169,7689,5297341,Epidendrum magnoliae,5321153,Epidendrum conopseum
114,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,6,7707728,196,1169,7689,5297341,Epidendrum ibaguense,5320873,Epidendrum ibaguense
115,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Epiphyllum,6,7707728,220,422,2519,3084180,Epiphyllum oxypetalum,5384031,Epiphyllum oxypetalum
116,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Alsobia,6,7707728,220,408,6654,6365375,Alsobia dianthiflora,5589998,Episcia dianthiflora
117,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Eriobotrya,6,7707728,220,691,5015,3024121,Eriobotrya japonica,3024146,Eriobotrya japonica
118,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Eucharis,6,7707728,196,1169,7682,2853159,Eucharis grandiflora,5325597,Eucharis grandiflora
119,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,1,54,216,811,6918,1470783,Eugenia uniflora,9567910,Eugenia uniflora
120,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,6,7707728,220,1414,4691,3063749,Euphorbia grandicornis,7858737,Euphorbia grandicornis
121,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,6,7707728,220,1414,4691,3063749,Euphorbia lactea,3069859,Euphorbia lactea
122,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,6,7707728,220,1414,4691,3063749,Euphorbia milii,3067157,Euphorbia milii
123,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,6,7707728,220,1414,4691,3063749,Euphorbia tirucalli,3069353,Euphorbia tirucalli
124,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,6,7707728,220,1414,4691,3063749,Euphorbia trigona,3067098,Euphorbia trigona
125,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Fatshedera,6,7707728,220,1351,8800,7314459,Fatshedera lizei,3597552,Fatshedera lizei
126,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,6,7707728,220,691,6640,2984588,Ficus benjamina,5361932,Ficus benjamina
127,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,6,7707728,220,691,6640,2984588,Ficus elastica,7835333,Ficus elastica
128,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,6,7707728,220,691,6640,2984588,Ficus pumila,5361930,Ficus pumila
129,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Fittonia,6,7707728,220,408,2393,3233835,Fittonia albivenis,5574508,Fittonia verschaffelti
130,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Gasteria,6,7707728,196,1169,4259209,2778529,Gasteria carinata,2778567,Gasteria verrucosa
131,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Gesneria,6,7707728,220,408,6654,9467815,NA,NA,Gesneria
132,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Gibasis,6,7707728,196,553,2763195,2764853,Gibasis geniculata,2764872,Gibasis geniculata
133,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,NA,6,7707728,196,1369,3073,NA,NA,NA,Gramineae
134,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Graptopetalum,6,7707728,220,7219248,2406,2985697,Graptopetalum paraguayense,7334731,Graptopetalum paraguayense
135,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthiopsis,6,7707728,196,1169,4259209,9233780,Haworthiopsis fasciata,9395407,Haworthia fasciata
136,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Tulista,6,7707728,196,1169,4259209,2777074,Tulista pumila,9366225,Haworthia margaritifera
137,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthia,6,7707728,196,1169,4259209,2779529,Haworthia herbacea,2779929,Haworthia papillosa
138,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthiopsis,6,7707728,196,1169,4259209,9233780,Haworthiopsis fasciata,9395407,Haworthia subfasciata
139,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Haworthiopsis,6,7707728,196,1169,4259209,9233780,Haworthiopsis viscosa,9374435,Haworthia viscosa
140,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,6,7707728,220,1351,8800,3036021,Hedera helix,8351737,Hedera helix
141,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,6,7707728,220,941,6685,3152542,Hibiscus rosa-sinensis,3152559,Hibiscus rosa-sinensis
142,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Hoya,6,7707728,220,412,6701,3170437,Hoya carnosa,8658195,Hoya carnosa
143,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Huernia,6,7707728,220,412,6701,7311640,Huernia schneideriana,3570935,Huernia schneideriana
144,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Ixora,6,7707728,220,412,8798,2905224,Ixora chinensis,2905600,Ixora chinensis
145,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Jasminum,6,7707728,220,408,6652,3172260,Jasminum simplicifolium,3682067,Jasminum gracile 
146,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Jasminum,6,7707728,220,408,6652,3172260,Jasminum polyanthum,3682631,Jasminum polyanthum
147,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Jasminum,6,7707728,220,408,6652,3172260,Jasminum simplicifolium,3682067,Jasminum volubile
148,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,6,7707728,220,7219248,2406,2985928,Kalanchoe daigremontiana,2985936,Kalanchoe daigremontiana
149,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,6,7707728,220,7219248,2406,2985928,Kalanchoe gastonis-bonnieri,2985946,Kalanchoe gastonis-bonnieri
150,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,6,7707728,220,7219248,2406,2985928,Kalanchoe tomentosa,4198346,Kalanchoe tomentosa
151,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,6,7707728,220,408,6654,5337639,Kohleria hirsuta,6365157,Kohleria eriantha
152,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,NA,6,7707728,220,408,2497,NA,NA,NA,Labiatae
153,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Latania,6,7707728,196,552,7681,2739273,Latania lontaroides,2739279,Latania lontaroides
154,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ledebouria,6,7707728,196,1169,7683,8293484,Ledebouria socialis,2773791,Ledebouria socialis
155,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,NA,6,7707728,220,1370,5386,NA,NA,NA,Leguminosae
156,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Liriope,6,7707728,196,1169,7683,9575165,Liriope muscari,5549949,Liriope muscari
157,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Lithops,6,7707728,220,422,6752,3231652,NA,NA,Lithops
158,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,6,7707728,220,422,2519,3084158,Mammillaria elongata,8406968,Mammillaria elongata
159,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,6,7707728,220,422,2519,3084158,Mammillaria bocasana,7281463,Mammillaria kunzeana
160,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,6,7707728,220,422,2519,3084158,Neomammillaria seideliana,3956069,Mammillaria seideliana
161,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Maranta,6,7707728,196,627,8784,2757347,Maranta leuconeura,2761337,Maranta leuconeura
163,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Marsileaceae,Marsilea,6,7707728,7228684,7229405,2375,2650085,Marsilea quadrifolia,5274875,Marsilea quadrifolia
164,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,6,7707728,196,551,6979,2868125,Monstera deliciosa,2868241,Monstera deliciosa
165,Plantae,Tracheophyta,Liliopsida,Zingiberales,Musaceae,Musa,6,7707728,196,627,4686,2760990,Musa acuminata,2762680,Musa acuminata
166,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,6,7707728,220,7219248,6694,2984253,Myriophyllum aquaticum,5361785,Myriophyllum brasiliense
