,kingdom,phylum,class,order,family,genus,species,query
45,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave univittata,Agave univittata 
46,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave victoriae-reginae,Agave victoriae-reginae
47,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,Aglaia odorata,Aglaia odorata
48,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Albuca,NA,Albuca 
49,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda cathartica,Allamanda cathartica
50,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Didiereaceae,Alluaudia,Alluaudia humbertii,Alluaudia humbertii
51,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Didiereaceae,Alluaudia,Alluaudia montagnacii,Alluaudia montagnacii
52,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Didiereaceae,Alluaudia,Alluaudia procera,Alluaudia procera
53,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia micholitziana,Alocasia micholitziana
54,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera,Aloe vera
55,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloiampelos,Aloiampelos ciliaris,Aloe ciliaris
56,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe gariepensis,Aloe gariepensis
57,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe hardyi,Aloe hardyi
58,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe haworthioides,Aloe hawarthioides
59,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe jucunda,Aloe jucunda
60,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe juvenna,Aloe juvenna
61,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe mcloughlinii,Aloe mcloughlinii
62,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe microstigma,Aloe microstigma
63,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe plicatilis,Aloe plicatilis
64,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe striata,Aloe striata
65,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe suprafoliata,Aloe suprafoliata
66,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,NA,Aloe variegata
