,kingdom,phylum,class,order,family,genus,species,query
721,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Taxodium,Taxodium distichum,Taxodium distichum 
722,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Tectariaceae,Tectaria,Tectaria gemmifera,Tectaria gemmifera
723,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Tephrocactus,Tephrocactus articulatus,Tephrocactus articulatus
724,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium fruticans,Teucrium fruticans
725,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Thelocactus,Thelocactus lophothele,Thelocactus lophothele
726,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Theophrasta,Theophrasta jussieui,Theophrasta jussieui
727,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Thuja,Thuja occidentalis,Thuja occidentalis 
728,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Thujopsis,Thujopsis dolabrata,Thujopsis dolabrata
729,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,Thunbergia erecta,Thunbergia erecta
730,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Tiarella,Tiarella cordifolia,Tiarella cordifolia
731,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Pleroma,Pleroma heteromalla,Tibouchina grandifolia
732,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia ionantha,Tillandsia ionantha
733,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia stricta,Tillandsia stricta
734,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia usneoides,Tillandsia usneoides
735,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia xerographica,Tillandsia xerographica
736,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Titanopsis,Titanopsis hugo-schlechteri,Titanopsis hugo-schlechteri
737,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Titanopsis,Titanopsis primosii,Titanopsis primosii
738,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia fluminensis,Tradescantia fluminensis
739,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia pallida,Tradescantia pallida 
