,kingdom,phylum,class,order,family,genus,species,query
66,Plantae,Tracheophyta,Magnoliopsida,Austrobaileyales,Austrobaileyaceae,Austrobaileya,Austrobaileya scandens,Austrobaileya scandens
67,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Austrocylindropuntia,Austrocylindropuntia cylindrica,Austrocylindropuntia cylindrica
68,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Averrhoa,Averrhoa carambola,Averrhoa carambola
69,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,Azolla caroliniana
70,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bambusa,Bambusa multiplex,Bambusa multiplex
71,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bashania,Bashania fargesii,Bashania fargesii
72,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia glabra,Bauhinia glabra
73,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Beaucarnea,Beaucarnea recurvata,Beaucarnea recurvata
74,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia maculata,Begonia corallina 
75,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia foliosa,Begonia foliosa
76,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia fuchsioides,Begonia fuchsioides
77,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia rex,Begonia rex 
78,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia cucullata,Begonia semperflorens
79,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,NA,Begonia 
80,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,Billbergia amoena,Billbergia amoena
81,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Bougainvillea,NA,Bougainvillea 
82,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Bowiea,Bowiea volubilis,Bowiea volubilis
83,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Boykinia,Boykinia rotundifolia,Boykinia rotundifolia
84,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,Brachychiton acerifolius,Brachychiton acerifolius
85,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,Brassavola nodosa,Brassavola nodosa
86,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,Brassia verrucosa,Brassia verrucosa
87,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brugmansia,NA,Brugmanzia
88,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brunfelsia,NA,Brunfelsia
89,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,NA,Buddleja
90,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Bunchosia,Bunchosia argentea,Bunchosia argentea
91,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Burbidgea,Burbidgea schizocheila,Burbidgea scheizocheila
92,Plantae,Tracheophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,Buxus microphylla,Buxus microphylla
93,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Caladium,Caladium bicolor,Caladium bicolor
94,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,NA,Calanthe
95,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Beaucarnea,Beaucarnea hookeri,Calibanus hookeri
96,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Callisia,Callisia fragrans,Callisia fragrans
97,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Callistemon,Callistemon subulatus,Callistemon subulatus
98,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Colocasia,Colocasia esculenta,Calocasia esculenta
99,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,Camellia japonica,Camellia japonica
